t raw new accept
1.921 0.0000 0.0000 0
1.941 0.0000 0.0000 0
1.973 0.0000 0.0000 0
1.993 0.0000 0.0000 0
2.013 0.0000 0.0000 0
2.046 0.0000 0.0000 0
2.066 0.0000 0.0000 0
2.089 0.0000 0.0000 0
2.119 0.0000 0.0000 0
2.142 0.0000 0.0000 0
2.162 0.0000 0.0000 0
2.185 0.0000 0.0000 0
2.215 0.0000 0.0000 0
2.239 0.0000 0.0000 0
2.259 0.0000 0.0000 0
2.292 0.0000 0.0000 0
2.312 0.0000 0.0000 0
2.332 0.0000 0.0000 0
2.365 0.0000 0.0000 0
2.385 0.0000 0.0000 0
2.409 0.0000 0.0000 0
2.429 0.0000 0.0000 0
2.462 0.0000 0.0000 0
2.482 0.0000 0.0000 0
2.505 0.0000 0.0000 0
2.535 0.0000 0.0000 0
2.561 0.0000 0.0000 0
2.581 0.0000 0.0000 0
2.614 0.0000 0.0000 0
2.634 0.0000 0.0000 0
2.654 0.0000 0.0000 0
2.677 0.0000 0.0000 0
2.707 0.0000 0.0000 0
2.731 0.0000 0.0000 0
2.751 0.0000 0.0000 0
2.784 0.0000 0.0000 0
2.804 0.0000 0.0000 0
2.827 0.0000 0.0000 0
2.857 0.0000 0.0000 0
2.881 0.0000 0.0000 0
2.901 0.0000 0.0000 0
2.921 0.0000 0.0000 0
2.954 0.0000 0.0000 0
2.974 0.0000 0.0000 0
2.997 0.0000 0.0000 0
3.027 0.0000 0.0000 0
3.051 0.0000 0.0000 0
3.071 0.0000 0.0000 0
3.104 0.0000 0.0000 0
3.124 0.0000 0.0000 0
3.147 0.0000 0.0000 0
3.177 0.0000 0.0000 0
3.197 0.0000 0.0000 0
3.217 0.0000 0.0000 0
3.237 0.0000 0.0000 0
3.267 0.0000 0.0000 0
3.287 0.0000 0.0000 0
3.307 0.0000 0.0000 0
3.337 0.0000 0.0000 0
3.357 0.0000 0.0000 0
3.377 0.0000 0.0000 0
3.411 0.0000 0.0000 0
3.431 0.0000 0.0000 0
3.454 0.0000 0.0000 0
3.474 0.0000 0.0000 0
3.507 0.0000 0.0000 0
3.527 0.0000 0.0000 0
3.547 0.0000 0.0000 0
3.580 0.0000 0.0000 0
3.600 0.0000 0.0000 0
3.624 0.0000 0.0000 0
3.654 0.0000 0.0000 0
3.677 0.0000 0.0000 0
3.697 0.0000 0.0000 0
3.720 0.0000 0.0000 0
3.750 0.0000 0.0000 0
3.773 0.0000 0.0000 0
3.793 0.0000 0.0000 0
3.829 0.0000 0.0000 0
3.849 0.0000 0.0000 0
3.869 0.0000 0.0000 0
3.902 0.0000 0.0000 0
3.922 0.0000 0.0000 0
3.945 0.0000 0.0000 0
3.965 0.0000 0.0000 0
3.999 0.0000 0.0000 0
4.019 0.0000 0.0000 0
4.044 0.0000 0.0000 0
4.074 0.0000 0.0000 0
4.099 0.0000 0.0000 0
4.119 0.0000 0.0000 0
4.152 0.0000 0.0000 0
4.172 0.0000 0.0000 0
4.192 0.0000 0.0000 0
4.225 0.0000 0.0000 0
4.245 0.0000 0.0000 0
4.271 0.0000 0.0000 0
4.291 0.0000 0.0000 0
4.324 0.0000 0.0000 0
4.344 0.0000 0.0000 0
4.367 0.0000 0.0000 0
4.397 0.0000 0.0000 0
4.420 0.0000 0.0000 0
4.440 0.0000 0.0000 0
4.474 0.0000 0.0000 0
4.494 0.0000 0.0000 0
4.514 0.0000 0.0000 0
